# Metadata file CSV - AWS (Automatic Weather Station)
# Dibuat oleh: Firly Hafiz Syahreza
# Tanggal pembuatan: 7 Januari 2025
# Deskripsi: File ini berisi data pengukuran parameter cuaca dari Automatic Weather Station (AWS) di lokasi pengamatan.
# Sumber data: Logsheet Excel yang telah dikonversi ke format CSV.
# Lokasi: Pulau Pramuka, Kepulauan Seribu
# Periode pengamatan: 14 Juli 2024 - 22 Juli 2024
# Format waktu: Waktu lokal (WIB)
# Penjelasan kolom:
# - Tahun: Tahun pengamatan.
# - Bulan: Bulan pengamatan.
# - Tanggal: Tanggal pengamatan.
# - Waktu: Waktu pengamatan (format HH:MM:SS).
# - Keceptan Angin (m/s): Kecepatan angin dalam m/s.
# - Arah angin (°): Arah angin dalam derajat.
# - Temperatur (°C) In: Suhu udara dalam derajat Celsius.
# - Temperatur (°C) Out: Suhu udara dalam derajat Celsius.
# - Kelembapan (%) In: Kelembapan udara dalam persen.
# - Kelembapan (%) Out: Kelembapan udara dalam persen.
# - Curah Hujan: Curah hujan dalam mm.
# - Tekanan (hpa): Tekanan udara dalam hPa (hektopascal).
Tahun,Bulan,Tanggal,Waktu,Kecepatan Angin (m/s),Arah angin (⁰),Temperatur(℃) In,Temperatur(℃) Out,Kelembapan (%) In,Kelembapan (%) Out,Curah Hujan,Tekanan (hpa)
2024,7,17,07.45.00,2,112.5,28,28,73,79,0.0,758.7
2024,7,17,08.00.00,1.3,135.5,29,28,73,77,0.0,758.8
2024,7,17,08.15.00,0.9,94.5,29,28,73,75,0.0,758.9
2024,7,17,08.30.00,1.55,101.5,29,29,73,73,0.0,759.0
2024,7,17,08.45.00,0.65,59.0,30,29,73,74,0.0,759.1
2024,7,17,09.00.00,2,128.5,30,29,72,74,0.0,759.1
2024,7,17,09.15.00,1.55,135.5,30,29,72,72,0.0,759.2
2024,7,17,09.30.00,0.85,109.5,31,29,72,72,0.0,759.1
2024,7,17,09.45.00,2,110.5,31,29,72,71,0.0,759.0
2024,7,17,10.00.00,0.4,83.0,31,29,72,71,0.0,759.1
2024,7,17,10.15.00,0.65,58.0,31,30,71,69,0.0,759.0
2024,7,17,10.30.00,1.1,113.0,32,30,71,70,0.0,759.1
2024,7,17,10.45.00,0.65,87.5,32,30,71,69.5,0.0,759.1
2024,7,17,11.00.00,0.4,66.0,32,30,71,70,0.0,758.9
2024,7,17,11.15.00,0.4,55.0,32,30,71,67,0.0,758.8
2024,7,17,11.30.00,0.65,73.5,32,30,71,66,0.0,758.7
2024,7,17,11.45.00,0.4,73.0,32,31,71,66,0.0,758.4
2024,7,17,12.00.00,1.1,55.5,32,31,71,66.5,0.0,758.4
2024,7,17,12.15.00,0.4,59.0,33,30,70,67,0.0,758.3
2024,7,17,12.30.00,0.65,61.0,33,31,70,66,0.0,758.0
2024,7,17,12.45.00,0.9,89.5,33,31,70,67,0.0,757.9
2024,7,17,13.00.00,1.3,78.0,33,31,70,67,0.0,757.6
2024,7,17,13.15.00,0.4,33.0,33,31,68,67,0.0,757.5
2024,7,17,13.30.00,0.4,56.0,33,31,68,68,0.0,757.5
2024,7,17,13.45.00,0.4,48.0,33,30,67,68,0.0,757.4
2024,7,17,14.00.00,1.55,83.0,33,31,68,67,0.0,757.2
2024,7,17,14.15.00,0.65,87.5,33,31,67.5,67.5,0.0,757.1
2024,7,17,14.30.00,1.3,42.5,34,31,67,68,0.0,757.0
2024,7,17,14.45.00,0.9,44.5,34,31,66,69,0.0,757.0
2024,7,17,15.00.00,0.4,68.0,34,31,66,70,0.0,756.9
2024,7,17,15.15.00,0.9,42.0,34,31,65,70,0.0,757.0
2024,7,17,15.30.00,0.9,46.5,34,30,65,69,0.0,757.1
2024,7,17,15.45.00,0.4,57.0,34,31,65,68,0.0,757.1
2024,7,17,16.00.00,0.65,92.0,34,31,64,68,0.0,757.1
2024,7,17,16.15.00,0.65,60.0,34,30,64,70,0.0,757.2
2024,7,17,16.30.00,1.1,69.0,34,30,64,71,0.0,757.3
2024,7,17,16.45.00,0.9,66.5,34,30,64,72,0.0,757.4
